Unnamed: 0,RUBRIK PENILAIAN FINAL PROJECT — TEKNOLOGI BIG DATA  |  Kelas B  |  ITS 2025/2026,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,  Skala Nilai & Konversi Huruf Mutu,,,,,,,
,Rentang,Huruf,Bobot Mutu,Predikat,Karakteristik Umum,,,
,90 – 100,A,4.0,Istimewa,"Semua komponen dikerjakan sangat baik. Infrastruktur matang, analisis mendalam, sistem berjalan end-to-end, dan inovasi tinggi.",,,
,80 – 89,AB,3.5,Sangat Baik,Sebagian besar komponen sangat baik. Ada 1–2 area yang bisa diperkuat namun tidak mengurangi kualitas keseluruhan secara signifikan.,,,
,75 – 79,B,3.0,Baik,Memenuhi semua komponen dengan kualitas yang baik. Beberapa aspek teknis atau analisis masih bisa diperdalam.,,,
,70 – 74,BC,2.5,Cukup Baik,"Memenuhi sebagian besar komponen. Output ada namun belum terukur, atau implementasi belum selesai sepenuhnya.",,,
,65 – 69,C,2.0,Cukup,"Memenuhi syarat minimum. Banyak komponen yang masih dangkal, analisis terbatas pada deskriptif, atau pipeline tidak lengkap.",,,
,< 65,D,< 2.0,Kurang,"Tidak memenuhi syarat minimum. Tidak ada implementasi nyata, masalah tidak relevan, atau sistem tidak dapat didemonstrasikan.",,,
,,,,,,,,
,  Poin Bonus,,,,,,,
,Bonus,Syarat,,,,,,
,Smart City (+5),"Topik berfokus pada permasalahan kota (transportasi, lingkungan, infrastruktur) dengan solusi data-driven yang dapat diintegrasikan ke ekosistem Smart City. Ditandai dengan relevansi terhadap kebijakan kota dan potensi adopsi nyata.",,,,,,
,Gemastik 2026 (+5),"Tim memiliki rencana konkret mengikuti Gemastik 2026, dibuktikan dengan proposal lomba atau outline submission yang sudah disiapkan. Nilai diberikan bukan hanya karena niat, tetapi ada artefak nyata (dokumen proposal).",,,,,,
,,,,,,,,
,  Tips untuk Penilai,,,,,,,
,"1.  Gunakan deskriptor sebagai anchor, bukan checklist kaku. Nilai bisa berada di antara dua level jika kualitas kerja berada di tengah-tengah.",,,,,,,
,"2.  Komponen K4 (Teknik Analisis, bobot 25%) adalah penentu terbesar — berikan perhatian lebih saat menilai kedalaman analisis dan kualitas output.",,,,,,,
,"3.  Untuk output 'terukur': pastikan ada angka spesifik (index, skor, persentase akurasi) — bukan hanya klaim kualitatif seperti 'sistem berhasil mendeteksi pelanggaran'.",,,,,,,
,"4.  Jika ragu antara dua level, tulis catatan di kolom 'Catatan Penilai' pada sheet Penilaian untuk didiskusikan dengan dosen.",,,,,,,
,5.  Bonus Smart City dan Gemastik bersifat independen — tim bisa mendapat keduanya (total +10) jika memenuhi kedua syarat.,,,,,,,
